Bloco,Países
48,63
105,199
112,359
112,573
105,895
51,675
51,485
105,137
51,253
51,660
41,237
105,77
61,548
51,780
112,445
112,628
48,255
51,760
105,611
51,728
48,158
105,647
61,583
22,232
39,93
53,455
105,41
61,508
105,317
51,464
112,85
112,251
112,467
112,440
41,372
51,31
22,245
22,367
51,334
22,251
61,593
22,87
111,63
51,782
41,80
51,623
105,43
105,687
112,386
41,383
39,73
22,151
41,198
105,99
51,890
112,494
105,705
39,161
105,715
112,379
112,607
51,40
53,93
39,81
61,690
22,386
41,431
22,603
22,355
53,365
48,589
22,764
53,776
41,53
107,493
51,759
112,275
48,169
105,815
61,476
51,289
41,556
61,411
51,193
39,141
22,781
112,259
39,291
41,578
48,337
22,163
51,458
22,23
22,791
22,247
105,391
39,741
61,69
41,744
112,232
61,545
22,393
112,452
61,535
39,517
39,772
41,369
105,345
112,442
105,65
111,845
112,388
112,151
112,271
112,737
105,678
112,247
61,599
111,586
51,329
53,420
39,64
39,750
112,98
51,488
39,455
51,783
61,677
112,764
41,244
112,245
27,239
112,87
61,499
112,393
112,848
105,297
51,731
112,498
22,670
61,490
105,90
105,477
51,505
41,403
51,800
39,267
39,190
112,15
112,375
51,665
61,183
22,111
22,573
61,873
51,229
53,108
51,331
51,115
41,357
112,670
51,888
105,863
39,153
105,235
61,875
39,365
112,305
112,37
48,850
51,489
51,528
39,795
51,127
22,321
61,575
22,375
51,438
51,735
51,101
51,710
22,452
61,563
112,767
27,169
22,271
39,776
51,474
22,442
112,163
51,243
22,150
51,240
61,810
105,196
112,840
105,341
61,805
22,275
53,741
51,173
112,676
112,495
39,13
22,607
105,866
51,59
61,566
51,833
39,423
112,17
112,367
61,511
39,461
39,420
48,100
39,160
51,820
41,154
53,267
112,449
39,119
112,427
39,361
39,187
105,698
51,285
51,281
22,359
112,781
51,720
39,351
39,858
22,445
39,625
112,355
105,88
27,97
22,301
48,325
61,569
112,195
51,426
61,531
51,640
39,399
105,200
51,145
22,427
105,580
105,693
22,195
112,152
53,141
61,870
112,111
22,15
112,831
53,858
22,467
111,100
112,246
39,497
51,177
105,501
41,358
105,521
61,691
112,827
48,845
39,576
39,447
105,700
39,847
51,756
61,542
61,165
112,72
51,685
112,23
51,525
107,249
112,293
48,586
51,754
105,695
39,108
27,589
105,823
112,791
51,507
48,239
112,321
51,434
48,97
61,313
107,149
61,472
51,450
112,25
51,748
61,551
105,309
105,699
22,246
48,770
61,396
51,788
112,603
112,150
22,72
61,828
112,697
105,83
112,790
39,824
105,47
112,538
112,301
112,20
