CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB
2025,5,12019000,21,160,SC,1,927700,156248,156250615,60269376
2025,1,15079011,21,850,MT,7,260151,991,999744,1567742
2025,6,12019000,21,190,SP,1,817800,48,47560,18126
2025,1,10063021,10,301,ES,1,727600,150,150,184
2025,2,10059010,10,372,MT,1,917800,15898810,15898810,3748312
2025,3,12019000,21,160,MT,1,817800,1492431,1492437692,573178111
2025,6,10063021,10,741,RS,1,1017700,693,657,1154
2025,3,12019000,21,399,MT,1,817800,14406,14407769,5490344
2025,3,12019000,21,160,MG,1,917800,3902,3903387,1476216
2025,4,12019000,21,160,GO,1,917800,141450,141450454,54471911
2025,4,12019000,21,776,MT,1,727600,8179,8179000,3195787
2025,2,10059010,10,372,SP,1,917800,11658375,11658375,2690594
2025,5,10063021,10,77,SP,1,817800,895,895,1402
2025,3,12019000,21,160,RS,1,917800,17,17163,6579
2025,1,10063021,10,43,RS,1,1017700,35840,35840,30586
2025,5,10063011,10,580,RS,1,1017700,148080,148080,91082
2025,5,15079011,21,580,PR,1,917800,0,32,52
2025,1,12019000,21,160,MT,1,927700,1000,1000000,435520
2025,4,15079011,21,249,PR,1,917800,108,107836,141999
2025,6,12019000,21,776,TO,1,317903,27742,27742316,10871833
2025,1,15079011,21,580,SP,1,817800,54,187,671
2025,2,12019000,21,369,MT,1,817800,26800,26800000,9959148
2025,1,10063011,10,434,PR,1,917800,1006,1006,924
2025,5,10063021,10,77,PR,1,817800,100,100,81
2025,3,10059090,10,163,ES,1,727600,10,10,41
2025,2,15079011,21,199,SP,1,817800,257,255023,337360
2025,4,10063021,10,467,RJ,1,717600,95,95,162
2025,5,23040090,21,776,MT,1,817800,144133,144131525,49596552
2025,5,15079011,21,351,RS,1,1017700,0,90,106
2025,6,10063021,10,476,ES,1,817800,3,3,11
2025,3,23040090,21,858,PR,1,917800,18978,18979070,6375070
2025,5,10059090,10,77,ES,1,727600,20,20,83
2025,2,23040090,21,275,RS,1,917800,3531,3530520,1334466
2025,6,10063021,10,351,RJ,1,717600,520,520,970
2025,3,10062020,10,351,RJ,1,717800,12,12,106
2025,4,15079011,21,589,GO,1,817800,1425,1427852,1924191
2025,6,10063021,10,267,AL,1,517800,20,20,57
2025,3,10063011,10,440,AL,1,417900,150,150,519
2025,5,15071000,21,337,RR,7,260152,80,80420,95875
2025,5,10063021,10,325,AP,7,240151,150,150,89
2025,3,10059010,10,589,MT,7,230154,96000,96000,17952
2025,2,10059090,10,580,SP,1,817800,47,47,50
2025,5,10063011,10,383,RS,1,1017700,145800,145800,98319
2025,2,10059010,10,858,PR,1,927700,69881938,69881938,14985427
2025,4,12019000,21,858,MS,1,927700,10777,10776534,4093648
2025,1,10063021,10,607,RS,1,1017700,46380,46380,47129
2025,4,12019000,21,573,RO,1,210200,20912,20912562,8206925
2025,1,10063021,10,741,PE,1,417902,30,30,86
2025,1,12019000,21,160,MT,1,917800,3004,3004764,1181933
2025,2,10063011,10,434,SP,1,817800,150,150,45
2025,1,10063021,10,467,AL,1,417902,100,100,210
2025,5,15079011,21,580,RJ,1,717800,0,32,79
2025,3,15079011,21,163,SC,1,927700,0,27,62
2025,3,12019000,21,59,MT,1,227600,20000,20000000,7099200
2025,4,23040090,21,365,SP,1,917800,9186,9185776,2995036
2025,1,15079019,21,580,MA,1,317903,0,80,110
2025,5,23040010,21,232,MT,1,817800,3786,3785505,1317091
2025,3,23040090,21,776,GO,1,817800,2500,2500000,923355
2025,5,23040010,21,628,MS,1,927700,66,66000,51883
2025,4,12019000,21,160,AC,1,227600,2049,2049107,766632
2025,2,10063021,10,538,SP,1,817800,160,160,220
2025,4,12019000,21,573,PI,1,517800,2795,2795066,1088723
2025,6,23040010,21,275,RS,1,1017700,39014,39013537,13828120
2025,2,10059010,10,301,PR,1,917800,40,40,26
2025,1,10063011,10,580,PR,1,917800,950,950,1479
2025,5,12019000,21,160,TO,1,217800,2978,2978225,1164323
2025,3,10061091,10,77,RJ,1,717800,4,4,14
2025,5,10061092,10,741,MA,1,317903,505,505,947
2025,1,23040010,21,670,SP,1,917800,2296,2295887,755048
2025,3,10063021,10,476,RJ,1,717600,310,310,1105
2025,3,12019000,21,190,MG,1,927700,1252,1251490,458934
2025,5,15079011,21,232,SP,1,817800,0,81,176
2025,5,10063021,10,538,SC,1,817800,10,10,62
2025,2,10063021,10,580,SC,1,927700,150,150,199
2025,3,12019000,21,240,PI,1,317903,3500,3500000,1369375
2025,2,12019000,21,160,MG,1,727600,8963,8962427,3356197
2025,1,12019000,21,160,PR,1,917800,113614,113613400,45020962
2025,1,23040090,21,399,SP,1,817800,5943,5943306,2149571
2025,4,12019000,21,827,MT,1,817800,17575,17575000,6973004
2025,3,10063011,10,845,SP,1,717600,930,930,1026
2025,5,10063021,10,607,SP,1,917800,25230,25230,16461
2025,3,23040010,21,169,MG,1,817800,26,26250,19175
2025,5,12019000,21,372,MG,1,817800,67244,67244234,27159800
2025,2,15079011,21,97,MT,7,250151,50,50108,44376
2025,5,12019000,21,160,RO,1,227600,154919,154919658,58828996
2025,4,15079011,21,476,RJ,1,710251,0,189,546
2025,2,15079011,21,434,SP,1,812051,0,0,128
