CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB
2025,5,12019000,21,160,SC,1,927700,156248,156250615,60269376
2025,6,12019000,21,190,SP,1,817800,48,47560,18126
2025,3,09011110,21,195,ES,1,717800,236,236000,1170224
2025,4,07133329,10,351,SC,1,927700,10,10,55
2025,3,11042300,10,249,SP,1,817800,270,270,385
2025,1,10063021,10,301,ES,1,727600,150,150,184
2025,4,09011110,21,87,MG,1,817800,11212,6944685,51402928
2025,2,10059010,10,372,MT,1,917800,15898810,15898810,3748312
2025,3,12019000,21,160,MT,1,817800,1492431,1492437692,573178111
2025,6,10063021,10,741,RS,1,1017700,693,657,1154
2025,5,07133399,10,249,MG,1,817800,52587,52587,90257
2025,6,07133399,10,767,SP,1,817800,4000,4000,13723
2025,3,12019000,21,399,MT,1,817800,14406,14407769,5490344
2025,3,12019000,21,160,MG,1,917800,3902,3903387,1476216
2025,4,12019000,21,160,GO,1,917800,141450,141450454,54471911
2025,4,12019000,21,776,MT,1,727600,8179,8179000,3195787
2025,2,12081000,10,586,SC,7,917500,2500,2500,5200
2025,2,10059010,10,372,SP,1,917800,11658375,11658375,2690594
2025,6,09011110,21,271,MG,1,817800,773,772525,6209610
2025,5,10063021,10,77,SP,1,817800,895,895,1402
2025,3,12019000,21,160,RS,1,917800,17,17163,6579
2025,1,10063021,10,43,RS,1,1017700,35840,35840,30586
2025,1,07133399,10,580,BA,1,517800,21,21,101
2025,2,10081090,10,476,MA,1,317903,3,3,25
2025,5,10063011,10,580,RS,1,1017700,148080,148080,91082
2025,2,07133321,10,301,RJ,1,717800,33,33,54
2025,4,07133190,10,476,PR,1,917800,35,35,83
2025,4,09011110,21,607,MG,1,817800,432,433200,3524676
2025,1,12019000,21,160,MT,1,927700,1000,1000000,435520
2025,3,07133190,10,361,SP,1,917800,49763,49763,38744
2025,6,12019000,21,776,TO,1,317903,27742,27742316,10871833
2025,2,07133399,10,741,PA,1,217800,5,5,28
2025,5,07081000,10,476,MA,1,317903,5,5,30
2025,4,07131010,10,403,SP,4,817600,0,0,0
2025,2,12019000,21,369,MT,1,817800,26800,26800000,9959148
2025,1,09011110,21,383,ES,1,817800,20,19824,118151
2025,1,10063011,10,434,PR,1,917800,1006,1006,924
2025,5,10063021,10,77,PR,1,817800,100,100,81
2025,1,09011110,21,246,BA,1,717800,96,96000,426240
2025,3,07082000,10,434,PR,1,917800,80,80,132
2025,4,10063021,10,467,RJ,1,717600,95,95,162
2025,6,09011110,21,190,ES,1,817800,86,85800,435864
2025,6,07134090,10,580,SC,1,927800,10,10,38
2025,2,09011110,21,246,ES,1,717600,314,313200,1620957
2025,6,19043000,10,399,PR,1,917800,2250,2250,2895
2025,6,07133190,10,476,SP,1,817800,73,73,266
2025,6,10063021,10,476,ES,1,817800,3,3,11
2025,3,09011110,21,379,MG,1,817800,40,40080,192319
2025,6,07133590,10,580,AM,1,227600,12,12,118
2025,1,10081090,10,476,MA,1,317903,15,15,128
2025,6,10063021,10,351,RJ,1,717600,520,520,970
2025,4,19043000,10,249,MG,1,817800,16700,16700,32414
2025,3,10062020,10,351,RJ,1,717800,12,12,106
2025,3,07133399,10,476,RJ,1,717800,10,10,58
2025,4,07133190,10,77,SC,1,927700,10,10,46
2025,3,07131090,10,741,RJ,1,717800,40,40,114
2025,4,09011110,21,498,MG,1,717600,53,52800,344905
2025,1,07133329,10,77,ES,1,727600,5,5,17
2025,4,07131090,10,476,RJ,1,717800,3,3,10
2025,2,09011110,21,386,BA,1,927700,65,64800,406411
2025,5,07133210,10,741,MA,1,317903,10,10,29
2025,6,10063021,10,267,AL,1,517800,20,20,57
2025,3,10063011,10,440,AL,1,417900,150,150,519
2025,5,10063021,10,325,AP,7,240151,150,150,89
2025,3,10059010,10,589,MT,7,230154,96000,96000,17952
2025,4,07081000,10,476,SP,1,727600,15,15,56
2025,5,10063011,10,383,RS,1,1017700,145800,145800,98319
2025,1,07133190,10,361,PA,1,917800,59610,59610,58942
2025,2,10059010,10,858,PR,1,927700,69881938,69881938,14985427
2025,4,12019000,21,858,MS,1,927700,10777,10776534,4093648
2025,1,07133399,10,163,PA,1,217800,10,10,22
2025,5,07133399,10,538,BA,1,517800,7,7,25
2025,1,10063021,10,607,RS,1,1017700,46380,46380,47129
2025,2,07133399,10,845,SP,1,817800,600,600,691
2025,4,12019000,21,573,RO,1,210200,20912,20912562,8206925
2025,1,10063021,10,741,PE,1,417902,30,30,86
2025,3,09011110,21,23,PR,1,817800,43,43200,186816
2025,3,07134090,10,361,PA,1,217800,6,6,47
2025,1,12019000,21,160,MT,1,917800,3004,3004764,1181933
2025,4,07133110,10,275,CE,1,317900,6,6,31
2025,2,10063011,10,434,SP,1,817800,150,150,45
2025,1,09011110,21,246,ES,1,717800,38,38400,197372
2025,6,09011110,21,556,ES,1,717800,129,129600,758400
2025,3,09011110,21,827,BA,1,717800,317,316800,2065536
2025,5,09011110,21,756,ES,1,817800,4,4915,26848
2025,1,09011110,21,676,ES,1,717800,58,57600,314314
2025,1,10063021,10,467,AL,1,417902,100,100,210
2025,3,12019000,21,59,MT,1,227600,20000,20000000,7099200
2025,1,09011110,21,676,BA,1,817800,120,120000,609600
2025,4,12019000,21,160,AC,1,227600,2049,2049107,766632
2025,2,10063021,10,538,SP,1,817800,160,160,220
2025,3,07131090,10,77,ES,1,727600,2,2,12
2025,4,12019000,21,573,PI,1,517800,2795,2795066,1088723
2025,5,07133319,10,434,SC,1,927700,25,25,47
2025,4,07133399,10,337,RR,7,260152,2150,2150,2778
2025,2,10059010,10,301,PR,1,917800,40,40,26
2025,1,07133190,10,538,RJ,1,717600,2,2,13
2025,2,12081000,10,580,ES,1,717800,5,5,9
2025,5,07133590,10,386,PA,1,217800,5,5,18
2025,2,07136090,10,77,AM,1,227600,5,5,18
2025,1,10063011,10,580,PR,1,917800,950,950,1479
2025,3,07081000,10,573,SC,1,927700,3,3,12
2025,1,09011110,21,247,SP,1,817800,1,1200,9449
2025,2,07131090,10,351,SC,1,927700,5,5,18
2025,6,11042300,10,127,GO,1,917800,173000,173000,135922
2025,5,12019000,21,160,TO,1,217800,2978,2978225,1164323
2025,6,07082000,10,580,SC,1,927700,3,3,11
2025,4,09011110,21,249,BA,1,817800,91,91091,686657
2025,4,07082000,10,137,RS,1,1017700,15,15,61
2025,4,07136090,10,476,PA,1,217800,10,10,25
2025,3,10061091,10,77,RJ,1,717800,4,4,14
2025,5,10061092,10,741,MA,1,317903,505,505,947
2025,6,07131090,10,77,AL,1,417902,5,5,30
2025,5,12081000,10,580,SP,1,817800,10,10,21
2025,3,10063021,10,476,RJ,1,717600,310,310,1105
2025,4,07133190,10,361,MT,1,817800,218290,218290,183861
2025,3,12019000,21,190,MG,1,927700,1252,1251490,458934
2025,3,07134090,10,476,RJ,1,717600,25,25,149
2025,5,09011110,21,764,MG,1,917800,65,64800,602879
2025,3,07133190,10,77,RJ,1,717600,15,15,55
2025,4,07081000,10,434,PR,1,917800,10,10,18
2025,5,10063021,10,538,SC,1,817800,10,10,62
2025,5,10019900,10,434,SP,1,817800,5,5,42
2025,5,07133399,10,476,RJ,1,717800,3,3,25
2025,2,10063021,10,580,SC,1,927700,150,150,199
2025,1,07133399,10,737,MT,1,917800,96000,96000,103200
2025,3,12019000,21,240,PI,1,317903,3500,3500000,1369375
2025,1,09011110,21,245,MG,1,717600,578,577580,3375604
2025,6,09011110,21,23,MG,1,917800,22,21600,185364
2025,2,12019000,21,160,MG,1,727600,8963,8962427,3356197
2025,6,07082000,10,163,PR,1,927700,15,15,33
2025,2,09011110,21,87,MG,1,817800,18360,6495339,41458064
2025,1,12019000,21,160,PR,1,917800,113614,113613400,45020962
2025,1,07133190,10,361,BA,1,917800,788700,788700,577198
2025,2,09011110,21,190,MG,1,817800,15913,4526944,27175369
2025,1,09011110,21,190,MG,1,817800,8224,4427433,23734963
2025,4,12019000,21,827,MT,1,817800,17575,17575000,6973004
2025,3,10063011,10,845,SP,1,717600,930,930,1026
2025,4,07134090,10,249,GO,1,817800,180,180,649
2025,5,10063021,10,607,SP,1,917800,25230,25230,16461
2025,3,07133190,10,232,SP,1,817800,12,12,46
2025,4,09011110,21,455,MG,1,817800,1718,1719255,13949099
2025,5,12019000,21,372,MG,1,817800,67244,67244234,27159800
2025,1,07131090,10,163,PA,1,217800,3,3,25
2025,5,12019000,21,160,RO,1,227600,154919,154919658,58828996
2025,2,10063021,10,467,PA,1,217800,2,2,56
2025,4,12019000,21,493,RO,1,210200,29500,29500000,11570583
2025,6,12019000,21,190,MT,1,817800,16101,16101888,6201706
2025,3,07133319,10,361,MT,1,917800,125000,125000,107500
2025,1,10059010,10,81,PR,1,817800,95800,95800,20715
2025,6,10063011,10,741,SP,1,817800,300,300,400
2025,1,09011110,21,858,MG,4,817600,8,8000,56394
2025,1,10059010,10,372,MG,1,817800,55570260,55570260,11949850
2025,1,10071000,10,196,MG,4,817700,2,2,1
2025,4,09011110,21,431,MG,1,717600,423,422400,2783970
2025,5,09011110,21,676,ES,1,717800,58,57600,345130
2025,1,07133329,10,351,PA,1,217800,8,8,25
2025,3,10051000,10,399,MG,4,817700,20,20,6
2025,4,07134090,10,741,RJ,1,717800,40,40,623
2025,6,10063021,10,232,SP,1,817800,5,5,24
2025,6,10063011,10,780,SC,1,927800,50,50,69
2025,1,12019000,21,160,GO,1,727600,67579,67576546,28504688
2025,5,09011110,21,69,SP,1,817800,285,285875,2383905
2025,4,09011110,21,493,MG,1,817800,75,75175,515199
2025,2,07134090,10,163,SP,1,817800,5,5,14
2025,2,09011110,21,249,ES,1,727600,19,19200,146169
2025,1,09011110,21,249,PR,1,817800,118,117420,632864
2025,2,09011110,21,827,ES,1,817800,895,895200,4770679
2025,1,10062020,10,43,SP,1,817800,75,75,73
2025,2,07133319,10,845,RS,7,1017701,24000,24000,24120
2025,1,09011110,21,161,SP,1,817800,139,139440,928584
2025,6,10063021,10,607,RS,1,1017700,46080,46080,42830
2025,1,10063019,10,476,PA,1,217800,180,180,168
2025,5,12019000,21,628,PA,1,210200,12573,12573060,4767830
2025,2,10019900,10,239,RS,1,1017700,66170000,66170000,14963239
2025,1,10063011,10,467,AL,1,440151,100,100,223
2025,3,07133399,10,169,AL,1,417900,4,4,17
2025,6,12019000,21,160,MA,1,517800,7200,7200000,2855304
2025,1,10059010,10,372,SP,1,817800,29858002,29858002,6419044
2025,3,09011110,21,573,GO,1,817800,51,51000,438327
2025,1,09011110,21,607,GO,1,817800,44,43200,248432
2025,2,12019000,21,160,SC,1,917800,2680,2680675,1097745
2025,5,10063021,10,301,SC,1,927700,100,100,20
2025,5,12019000,21,59,RO,1,227600,57500,57500844,21612731
2025,6,12019000,21,369,SC,1,917800,248,247584,98231
2025,1,10063021,10,183,RS,1,1017700,20,20,107
2025,2,07133590,10,361,PA,1,917800,103620,103620,68472
2025,4,10063021,10,476,PE,1,417900,200,200,379
2025,3,07133319,10,607,PR,1,917800,1047322,1047322,811931
2025,2,09011110,21,245,ES,1,717600,46235,3077503,15364988
2025,4,10061092,10,199,SP,1,817800,3850,3850,6742
2025,1,10063021,10,741,RJ,1,717800,15,15,74
2025,2,09011110,21,767,SP,0,9999999,30,30300,252768
2025,3,07081000,10,580,SC,1,927700,2,2,10
2025,4,07134090,10,741,PR,1,917800,11,11,30
2025,6,07134090,10,301,RJ,1,717600,20,20,107
2025,2,07133210,10,77,ES,1,727600,1,1,5
2025,6,09011110,21,676,ES,1,717600,108,108000,537853
2025,2,07133290,10,232,SP,1,817800,5,5,15
2025,4,12019000,21,190,GO,1,927700,29499,29499629,11494511
2025,6,10081090,10,467,PR,1,817800,20,20,121
2025,1,07133319,10,77,ES,1,727600,3,3,4
2025,1,10063021,10,845,SP,1,717600,180,180,299
2025,2,12019000,21,81,GO,1,917800,9791,9790148,3806227
2025,5,12019000,21,245,MT,1,317903,20289,20288318,7730684
2025,5,12019000,21,776,MG,1,817800,12251,12250778,4696134
2025,1,09011110,21,628,MG,1,817800,23602,3668308,21465464
2025,1,10059010,10,589,GO,1,927700,3211809,3211809,633068
2025,6,07133190,10,476,PA,1,217800,10,10,47
2025,6,12019000,21,827,MT,1,210200,120283,120286644,47934154
2025,6,11042300,10,249,GO,1,927700,57961,57961,57192
2025,3,12019000,21,160,MS,1,927700,219295,219294364,85252283
2025,5,12019000,21,386,MT,1,227600,30350,30349747,11295199
2025,1,07133319,10,741,SP,1,717600,7,7,29
2025,6,07133329,10,434,SP,1,817800,55,55,202
2025,3,07133319,10,845,SP,1,817800,930,930,1092
2025,5,09011110,21,249,ES,1,817800,580,581580,2339579
2025,1,10059010,10,476,PR,1,927700,5,5,36
2025,1,07133319,10,199,PR,1,927502,94800,94800,103332
2025,2,12019000,21,161,MT,1,817800,32100,32100000,13658199
2025,1,07134090,10,190,ES,1,717800,13,13,29
2025,1,09011110,21,827,MG,1,717600,725,724800,3344151
2025,1,10062010,10,845,SP,1,717600,25,25,33
2025,1,07131090,10,741,MA,1,317903,5,5,17
2025,3,12019000,21,240,MA,1,317903,31875,31874535,12720037
