SG_UF_NCM,GARGALO_PREDITO
SC,1
SP,1
ES,0
SC,0
SP,0
ES,0
MG,0
MT,1
MT,1
RS,0
MG,0
SP,0
MT,1
MG,1
GO,1
MT,1
SC,0
SP,1
MG,1
SP,0
RS,1
RS,0
BA,0
MA,0
RS,0
RJ,0
PR,0
MG,0
MT,1
SP,0
TO,1
PA,0
MA,0
SP,0
MT,1
ES,0
PR,0
PR,0
BA,1
PR,0
RJ,0
ES,1
SC,0
ES,0
PR,0
SP,0
ES,0
MG,0
AM,0
MA,0
RJ,0
MG,0
RJ,0
RJ,0
SC,0
RJ,0
MG,0
ES,0
RJ,0
BA,1
MA,0
AL,0
AL,0
AP,0
MT,0
SP,0
RS,0
PA,0
PR,1
MS,1
PA,0
BA,0
RS,0
SP,0
RO,1
PE,0
PR,1
PA,0
MT,1
CE,0
SP,0
ES,1
ES,0
BA,1
ES,1
ES,1
AL,0
MT,1
BA,1
AC,1
SP,0
ES,0
PI,1
SC,0
RR,0
PR,0
RJ,0
ES,0
PA,0
AM,0
PR,0
SC,0
SP,1
SC,0
GO,0
TO,1
SC,0
BA,1
RS,0
PA,0
RJ,0
MA,0
AL,0
SP,0
RJ,0
MT,0
MG,1
RJ,0
MG,1
RJ,0
PR,0
SC,0
SP,0
RJ,0
SC,0
MT,0
PI,1
MG,1
MG,1
MG,1
PR,0
MG,1
PR,1
BA,0
MG,0
MG,1
MT,1
SP,0
GO,0
SP,0
SP,0
MG,0
MG,1
PA,0
RO,1
PA,0
RO,1
MT,1
MT,0
PR,0
SP,0
MG,0
MG,1
MG,0
MG,1
ES,1
PA,0
MG,0
RJ,0
SP,0
SC,0
GO,1
SP,0
MG,0
SP,0
ES,1
PR,1
ES,1
SP,0
RS,0
SP,0
RS,0
PA,0
PA,1
RS,1
AL,0
AL,0
MA,1
SP,1
GO,0
GO,0
SC,1
SC,0
RO,1
SC,1
RS,0
PA,1
PE,0
PR,0
ES,0
SP,1
RJ,0
SP,0
SC,0
PR,0
RJ,0
ES,0
ES,0
SP,0
GO,1
PR,0
ES,0
SP,0
GO,1
MT,1
MG,1
MG,0
GO,1
PA,0
MT,1
GO,0
MS,1
