,Sigla,Nome
0,PE,Pernambuco
1,MT,Mato Grosso
2,PI,Piauí
3,ND,Não Declarada
4,MS,Mato Grosso do Sul
5,PB,Paraíba
6,PA,Pará
7,RE,Reexportação
8,AP,Amapá
9,PR,Paraná
10,ZN,Zona Não Declarada
11,RN,Rio Grande do Norte
12,RR,Roraima
13,GO,Goiás
14,TO,Tocantins
15,EX,Exterior
16,ES,Espírito Santo
17,CB,Consumo de Bordo
18,CE,Ceará
19,BA,Bahia
20,MG,Minas Gerais
21,SP,São Paulo
22,MA,Maranhão
23,RO,Rondônia
24,DF,Distrito Federal
25,AC,Acre
26,MN,Mercadoria Nacionalizada
27,SE,Sergipe
28,ED,Estados Diversos - Café
29,RJ,Rio de Janeiro
30,AL,Alagoas
31,SC,Santa Catarina
32,RS,Rio Grande do Sul
33,AM,Amazonas
