,Código,Descrição
0,927500,0927500 - ALF - FLORIANÓPOLIS
1,710252,0710252 - IRF MACAE
2,710304,0710304 - ITAGUAI
3,811400,0811400 - SANTO ANDRE
4,510353,0510353 - IRF ILHEUS
5,710251,0710251 - IRF CAMPOS DOS GOYTACAZES
6,1010351,1010351 - IRF SANTANA DO LIVRAMENTO
7,1017504,1017504 - IRF PORTO MAUA
8,1017505,1017505 - IRF PORTO XAVIER
9,510352,0510352 - IRF PORTO SEGURO
10,317903,0317903 - IRF SAO LUIS
11,910,0000910 - SEFAZ-SC - CONVENIO CONSULTA SISTEMA CARGA
12,110100,0110100 - BRASILIA
13,117600,0117600 - AEROPORTO INTERNACIONAL DE BRASILIA
14,120100,0120100 - GOIANIA
15,120102,0120102 - CATALAO
16,120200,0120200 - ANAPOLIS
17,130100,0130100 - CUIABA
18,130151,0130151 - CACERES
19,140100,0140100 - CAMPO GRANDE
20,147600,0147600 - ALF - CORUMBÁ
21,147700,0147700 - ALF - MUNDO NOVO
22,147800,0147800 - ALF - PONTA PORÃ
23,147852,0147852 - ARF - PORTO MURTINHO
24,210100,0210100 - BELEM
25,210200,0210200 - SANTAREM
26,210252,0210252 - ALMEIRIM
27,210300,0210300 - MARABA
28,217800,0217800 - ALF - BELÉM
29,217801,0217801 - IRF - AEROPORTO INTERNACIONAL DE BELÉM
30,217802,0217802 - IRF - BARCARENA
31,220100,0220100 - DRF MANAUS
32,227600,0227600 - PORTO DE MANAUS
33,227603,0227603 - TABATINGA
34,227700,0227700 - AEROPORTO EDUARDO GOMES
35,230100,0230100 - RIO BRANCO
36,230152,0230152 - CRUZEIRO DO SUL
37,230154,0230154 - Assis Brasil
38,230155,0230155 - IRF - EPITACIOLâNDIA
39,240100,0240100 - MACAPA
40,240151,0240151 - OIAPOQUE
41,240152,0240152 - SANTANA
42,250100,0250100 - PORTO VELHO
43,250151,0250151 - GUAJARA-MIRIM
44,250152,0250152 - VILHENA
45,260100,0260100 - BOA VISTA
46,260151,0260151 - PACARAIMA
47,260152,0260152 - BONFIM
48,310100,0310100 - FORTALEZA
49,317900,0317900 - ALF - FORTALEZA
50,317901,0317901 - IRF - AEROPORTO INTERNACIONAL PINTO MARTINS
51,317902,0317902 - IRF - PORTO DE PECÉM
52,320100,0320100 - SAO LUIS
53,320151,0320151 - IRF - PORTO DE SÃO LUÍS
54,330100,0330100 - TERESINA
55,410100,0410100 - RECIFE
56,410102,0410102 - GOIANA
57,410251,0410251 - PETROLINA
58,417600,0417600 - PORTO DO RECIFE
59,417900,0417900 - ALF - RECIFE
60,417901,0417901 - IRF - AEROPORTO INTERNACIONAL DOS GUARARAPES
61,417902,0417902 - IRF - PORTO DE SUAPE
62,420100,0420100 - NATAL
63,420152,0420152 - PARNAMIRIM
64,420154,0420154 - IRF NATAL
65,420200,0420200 - MOSSORO
66,420252,0420252 - AREIA BRANCA
67,430100,0430100 - JOAO PESSOA
68,430151,0430151 - CABEDELO
69,440100,0440100 - MACEIO
70,440151,0440151 - MACEIO
71,510100,0510100 - SALVADOR
72,510300,0510300 - VITORIA DA CONQUISTA
73,510500,0510500 - ITABUNA
74,510551,0510551 - PORTO SEGURO
75,510552,0510552 - ILHEUS
76,517800,0517800 - ALF - SALVADOR
77,517801,0517801 - IRF - AEROPORTO INTERNACIONAL DE SALVADOR
78,520100,0520100 - ARACAJU
79,520105,0520105 - PROPRIA
80,610100,0610100 - BELO HORIZONTE
