"Bloco";"Países"
"América do Sul";"Argentina"
"América Central e Caribe";"Cuba"
"Europa";"Ilha de Man"
"Europa";"Países Baixos (Holanda)"
"América Central e Caribe";"Zona do Canal do Panamá"
"África";"Ruanda"
"África";"Maurício"
"América Central e Caribe";"Cayman, Ilhas"
"África";"Etiópia"
"África";"Reunião"
"Oriente Médio";"Dubai"
"América Central e Caribe";"Bahamas"
"Oceania";"Nova Zelândia"
"África";"Tanzânia"
"Europa";"Luxemburgo"
"Europa";"Reino Unido"
"América do Sul";"Falkland (Malvinas)"
"África";"Sudão do Sul"
"América Central e Caribe";"Porto Rico"
"África";"Senegal"
"América do Sul";"Chile"
"América Central e Caribe";"República Dominicana"
"Oceania";"Papua, Território de"
"União Europeia - UE";"Dinamarca"
"Ásia (Exclusive Oriente Médio)";"Mianmar"
"Associação de Nações do Sudeste Asiático - ASEAN";"Malásia"
"América Central e Caribe";"Anguilla"
"Oceania";"Nauru"
"América Central e Caribe";"Guatemala"
"África";"Mali"
"Europa";"Belarus"
"Europa";"Estônia"
"Europa";"Malta"
"Europa";"Liechtenstein"
"Oriente Médio";"Irã"
"África";"Burkina Faso"
"União Europeia - UE";"Espanha"
"União Europeia - UE";"Inglaterra"
"África";"Guiné-Bissau"
"União Europeia - UE";"Estônia"
"Oceania";"Pitcairn"
"União Europeia - UE";"Bélgica"
"Mercado Comum do Sul - Mercosul";"Argentina"
"África";"Território Britânico do Oceano Índico"
"Oriente Médio";"Barein"
"África";"Quênia"
"América Central e Caribe";"Antígua e Barbuda"
"América Central e Caribe";"El Salvador"
"Europa";"Itália"
"Oriente Médio";"Israel"
"Ásia (Exclusive Oriente Médio)";"Azerbaijão"
"União Europeia - UE";"Canárias, Ilhas"
"Oriente Médio";"Coveite (Kuweit)"
"América Central e Caribe";"Bonaire, Saint Eustatius e Saba"
"África";"Zâmbia"
"Europa";"Moldávia"
"América Central e Caribe";"São Vicente e Granadinas"
"Ásia (Exclusive Oriente Médio)";"Taiwan (Formosa)"
"América Central e Caribe";"Santa Lúcia"
"Europa";"Islândia"
"Europa";"Portugal"
"África";"Angola"
"Associação de Nações do Sudeste Asiático - ASEAN";"Mianmar"
"Ásia (Exclusive Oriente Médio)";"Bangladesh"
"Oceania";"Samoa"
"União Europeia - UE";"Itália"
"Oriente Médio";"Líbano"
"União Europeia - UE";"Polônia"
"União Europeia - UE";"Hungria"
"Associação de Nações do Sudeste Asiático - ASEAN";"Indonésia"
"América do Sul";"Peru"
"União Europeia - UE";"Suécia"
"Associação de Nações do Sudeste Asiático - ASEAN";"Tailândia"
"Oriente Médio";"Arábia Saudita"
"América do Norte";"México"
"África";"Sudão"
"Europa";"França"
"América do Sul";"Colômbia"
"América Central e Caribe";"Trinidad e Tobago"
"Oceania";"Marshall, Ilhas"
"África";"Gana"
"Oriente Médio";"Omã"
"Oceania";"Kiribati"
"África";"Costa do Marfim"
"Ásia (Exclusive Oriente Médio)";"Camboja"
"União Europeia - UE";"Terras Austrais Francesas"
"Europa";"Faroe, Ilhas"
"Ásia (Exclusive Oriente Médio)";"Geórgia"
"Oriente Médio";"Palestina"
"América do Sul";"Guiana"
"União Europeia - UE";"Chipre"
"África";"Malavi"
"União Europeia - UE";"Alemanha"
"União Europeia - UE";"Tcheca, República"
"União Europeia - UE";"Eslováquia"
"América Central e Caribe";"Jamaica"
"Ásia (Exclusive Oriente Médio)";"Singapura"
"Oceania";"Austrália"
"Oriente Médio";"Síria"
"Europa";"Dinamarca"
"Oceania";"Papua Nova Guiné"
"União Europeia - UE";"Jersey"
"Europa";"Madeira, Ilha da"
"Oceania";"Norfolk, Ilha"
"Ásia (Exclusive Oriente Médio)";"Nepal"
"Ásia (Exclusive Oriente Médio)";"Tadjiquistão"
"Oriente Médio";"Iraque"
"América Central e Caribe";"Honduras"
"Europa";"Lituânia"
"América Central e Caribe";"Aruba"
"Mercado Comum do Sul - Mercosul";"Uruguai"
